YEAR,MO,DY,T2M,T2MDEW,T2MWET,QV2M,PRECTOTCORR,PS,WS10M,WD10M,WS50M,WD50M,RH2M,TS
1981,2,5,3.85,1.58,2.72,4.27,1.24,100.36,2.48,112.44,3.52,114.19,85.31,4.43
1981,2,6,5.48,3.18,4.33,4.76,0.1,100.04,2.59,188.12,3.83,189.25,86.25,6.14
1981,2,7,8.31,4.44,6.37,5.31,0.03,99.1,6.31,254.19,8.36,254.69,80.31,8.64
1981,2,8,5.68,0.49,3.08,3.97,1.61,99.57,3.27,74,4.88,76.62,73.44,6.22
1981,2,9,7.68,6.79,7.23,6.41,8.22,98.73,5.66,171.25,8.36,172.25,93.81,7.38
1981,2,10,4.44,-0.3,2.07,4.7,0.18,98.66,9.38,304.38,12.08,304.44,72.31,4.96
1981,2,11,-5.78,-16.37,-11.07,0.98,0,101.38,5.4,284.25,6.86,284,41.75,-4.1
1981,2,12,-0.88,-10.18,-5.53,1.65,0.04,101.45,5.26,147,7.45,147.75,50.12,-0.61
1981,2,13,2.32,-4.02,-0.85,2.81,0,101.52,2.8,135,4.75,136.5,66.62,2.72
1981,2,14,5.49,-0.14,2.68,3.78,0,101.15,2.89,152.88,4.68,154.38,70.44,5.45
1981,2,15,7.41,1.8,4.61,4.33,0,100.34,4.2,164,7.03,164.81,71.31,7.48
1981,2,16,9.72,4.1,6.9,5.13,0.02,99.99,2.66,171.5,4.29,172.31,71.25,9.46
1981,2,17,11.55,6.73,9.15,6.23,0.02,99.72,3.65,184.75,5.76,185.38,75.75,11.13
1981,2,18,14.5,11.29,12.89,8.42,0.1,99.51,3.02,191.44,4.88,192.62,82.5,14.21
1981,2,19,16.26,9.68,12.97,7.57,0,99.65,2.46,278.81,3.55,278.44,68.19,14.92
1981,2,20,17.48,11.8,14.64,8.91,0.02,99.11,5.55,201.5,8.4,202.31,72.56,16.99
1981,2,21,17.22,10.59,13.9,8.48,3.83,98.71,7.76,238,10.87,238.56,68.88,16.9
1981,2,22,10.88,-0.43,5.23,3.78,0,99.47,8.09,304.25,11.42,305.06,49.75,10.98
1981,2,23,12.87,1.73,7.3,4.39,0.05,99.41,4.54,292.56,6.87,292.94,50.5,11.99
1981,2,24,15.82,3.33,9.57,4.94,0,99.31,4.1,212.06,6.26,212.56,45.94,14.3
1981,2,25,16.46,11.76,14.12,8.73,0.02,99.24,6.52,189.25,9.37,190.25,76.12,16.59
1981,2,26,17.33,13.97,15.65,10.07,0.17,99.45,5.71,179.12,8.23,180.06,82.06,17.48
1981,2,27,18.4,14.67,16.53,10.5,3.83,99.43,6.34,183.38,8.98,184.12,80.25,18.33
1981,2,28,15.76,13.65,14.7,9.95,25.47,99.33,5.27,112.69,7.19,113.25,87.44,15.76
1981,3,1,12.23,8.37,10.3,6.9,0.81,99.49,3.22,50.25,4.48,50.12,78.75,13.12
1981,3,2,12.69,9.52,11.11,7.51,6.32,99.53,2.32,121.88,3.82,122.31,81.44,13.44
1981,3,3,13.63,11.88,12.76,8.97,19.48,98.67,7.12,155.56,9.89,156.5,89.19,13.54
1981,3,4,16.58,9.6,13.09,7.87,7.53,97.89,6.65,239.5,9.9,240.06,67.25,16.32
1981,3,5,10.05,3.9,6.98,5.13,0.06,99.11,6.39,212.75,8.5,213.25,67.69,10.71
1981,3,6,9.38,3.88,6.63,5.13,0.5,99.31,2.38,103.75,3.93,104.62,71.06,9.82
1981,3,7,9.34,7.6,8.47,6.53,15.75,99.43,4.5,106.94,6.53,107.38,88.94,9.55
1981,3,8,7.89,4.5,6.19,5.25,0.13,100.38,3.8,166.56,5.15,167.62,80.5,8.79
1981,3,9,8.79,4.19,6.48,5.13,0.04,100.71,2.2,188.38,3.16,188.44,74.62,9.44
1981,3,10,11.22,4.94,8.08,5.43,0.03,100.54,1.67,41,2.14,70.31,67,10.55
1981,3,11,12.43,5.13,8.78,5.49,0.02,100.47,2.98,45.06,4.16,45.06,63.75,12.15
1981,3,12,12.72,5.79,9.25,5.8,0.04,99.93,2.49,129.12,3.98,129.75,66.56,13.3
1981,3,13,13.65,8,10.83,6.71,0,99.56,1.84,199.12,2.76,198.5,71.19,13.95
1981,3,14,14.76,8.42,11.58,6.96,0.01,99.58,3.45,202.25,5.14,200.44,68.31,14.52
1981,3,15,14.87,8.92,11.9,7.2,0.65,99.13,6.78,278.31,9.8,279,69.94,15.07
1981,3,16,12.4,3.33,7.87,4.88,0,99.9,3.34,238.44,5.11,238.44,57.75,12.4
1981,3,17,16.08,5.36,10.72,5.8,0.4,98.33,7.77,218.31,11.31,219.5,52.31,15.83
1981,3,18,8.8,-1.83,3.48,3.54,0.12,98.8,10.34,334.5,13.81,335,49.62,9.38
1981,3,19,8.3,-2.99,2.66,3.11,0,99.81,4.08,328.31,5.96,328.75,49.69,7.99
1981,3,20,12.94,1.98,7.45,4.52,0,99.01,5.22,158.38,7.31,159.06,50.06,12.24
1981,3,21,15.82,4.92,10.37,5.68,0.01,97.81,8.09,227.12,11.49,228.38,54.25,15.51
1981,3,22,10.46,5.89,8.18,5.86,0,99.1,8.29,332.44,11.09,333.25,74.62,10.79
1981,3,23,11.12,3.87,7.5,5,0,100.14,3.53,160.81,4.75,175.94,65.38,11.42
1981,3,24,14.16,4.7,9.43,5.37,0.02,99.95,2.04,148.44,3.3,148.69,54.69,13.44
1981,3,25,13.98,7.21,10.59,6.35,0.75,99.79,4.3,175.69,6.38,176,66.12,13.75
1981,3,26,15.7,10.09,12.9,7.81,0,99.65,5.19,186.19,7.16,186.94,71.81,15.71
1981,3,27,18.4,12.83,15.62,9.34,1.42,99.36,7.88,163.56,10.84,164.69,72.75,18.55
1981,3,28,18.98,15.87,17.42,11.47,15.64,98.94,9.23,171.31,12.48,172.44,83.12,18.87
1981,3,29,14.83,8.35,11.59,7.02,13.99,98.57,5.68,214,8.62,215.81,67.38,14.54
1981,3,30,16.95,8.3,12.62,7.02,0,98.53,5.07,227.38,8.15,228.19,61.5,16.77
1981,3,31,18.51,7.94,13.23,6.77,0,99.18,4.47,271.19,6.28,271.44,53.31,17.45
1981,4,1,18.19,5.95,12.07,5.92,0.01,99.81,2.72,161.62,4.24,162.12,47.06,16.64
1981,4,2,18.69,10.7,14.7,8.54,0.08,99.38,5.97,174.06,9.02,174.25,63.69,18.71
1981,4,3,22.15,17.17,19.65,12.57,7.71,98.31,9.16,193.81,12.78,195.19,75.44,21.98
1981,4,4,16.51,6.03,11.26,5.98,2.16,99.05,5.61,276.31,8.53,276.69,53.25,16.69
1981,4,5,13.97,4.4,9.19,5.19,0.04,100.47,3.98,301.25,6.03,301.19,56.75,14.33
1981,4,6,14.91,4.32,9.62,5.19,0.01,100.3,4.21,151.19,6.16,151.62,51.81,14.74
1981,4,7,17.43,10.99,14.21,8.36,0,99.34,8.46,177.69,11.54,178.75,66.25,17.42
1981,4,8,20.54,16.99,18.76,12.27,0,99.12,7.66,187.44,10.66,188.75,80.81,20.37
1981,4,9,21.98,17.73,19.85,12.76,0,99.55,5.7,175.56,8.32,176.5,78.19,22.09
1981,4,10,21.5,16.8,19.15,12.08,0.02,99.62,6.48,171.88,9.27,172.75,75.94,21.27
1981,4,11,21.77,17.19,19.48,12.39,0,99.49,6.47,179.81,9.05,180.69,76.94,21.9
1981,4,12,23.7,17.98,20.84,13,0.02,99.4,6.09,187,8.66,188.19,72.75,24.09
1981,4,13,23.93,16.52,20.23,11.84,0.47,99.46,5.76,183.38,8.4,184.38,66.38,24.19
1981,4,14,19.51,13.98,16.74,10.13,0.54,100.29,5.79,104.38,7.91,90.56,71.75,20.05
1981,4,15,16.71,10.33,13.52,7.81,1.21,100.68,5.07,59.69,6.74,62,67.56,17.78
1981,4,16,20.74,13.02,16.88,9.4,0.03,100.13,3.23,149.5,4.9,150.75,64.38,21.67
1981,4,17,22.94,16.34,19.64,11.66,4.56,99.75,4.7,181.94,7.04,182.62,69,23.47
1981,4,18,20.51,16.23,18.37,11.6,9.78,99.6,6.14,161.06,8.84,162.06,77.69,20.5
1981,4,19,23.33,17.81,20.57,12.88,2.2,99.19,6.12,194.19,9.01,195.25,73.56,23.3
1981,4,20,23.24,15.28,19.26,11.05,0.3,99.21,3.93,192.75,5.97,191.56,66.44,23.98
1981,4,21,21.36,17.01,19.19,12.33,12.53,99.23,3.94,126.44,6.16,127.62,77.94,21.63
1981,4,22,22.58,18.91,20.75,13.85,9.64,98.94,5.38,212.38,8.08,213.12,80.81,22.47
1981,4,23,18.18,10.92,14.55,8.48,8.9,99.33,4.12,85.06,5.7,85.62,66.44,17.76
1981,4,24,19.65,8.43,14.04,6.96,0,99.34,1.96,209.81,2.77,194.06,50.88,18.58
1981,4,25,20.26,11.46,15.87,8.61,0,99.29,3.46,210,5.59,209.81,60.12,20.52
1981,4,26,21.73,15.58,18.65,11.17,0.04,99.39,4.23,185,6.75,185.69,70.81,22.35
1981,4,27,22.88,16.31,19.6,11.66,0.27,99.38,4.74,184,7.41,184.31,69.31,23.38
1981,4,28,23.6,18.46,21.03,13.43,7.5,99.23,4.07,198.06,5.94,198.81,74.5,23.87
1981,4,29,24.74,19.84,22.29,14.65,1.36,99.18,2.5,215.56,4.27,216.81,76.38,25.19
1981,4,30,24.46,20.9,22.68,15.62,10.56,99.19,2.98,173.5,4.77,173.62,81.44,24.43
1981,5,1,21.79,16.8,19.3,12.21,4.63,99.3,4.72,91.56,7.08,92.06,75.25,21.91
1981,5,2,20.36,10.43,15.39,8,0.04,99.26,3.98,108.75,6.44,109.75,56.5,20.84
1981,5,3,20.08,17.63,18.86,12.94,4.73,98.79,5.02,157.81,7.36,158.75,86.19,20.15
1981,5,4,21.03,18.77,19.9,13.73,2.46,98.81,4.55,136,6.52,137,87.56,21.16
1981,5,5,21.63,17.22,19.43,12.39,0.92,99.15,4.55,27.06,6.54,27.62,78,22.39
1981,5,6,19.72,13.26,16.49,9.58,0.04,99.2,4.09,77.81,6.05,92.62,69.75,20.59
1981,5,7,19.88,14.32,17.1,10.31,5.91,99.09,3.07,89,4.76,90.31,73.12,21.15
1981,5,8,21.05,18.48,19.76,13.61,37.8,98.71,5.9,154.38,8.27,155.81,86,21.15
1981,5,9,19.95,15.23,17.59,11.41,12.27,98.63,8.45,233.88,11.34,234.56,75.75,20.01
1981,5,10,14.51,5.44,9.98,5.68,0.27,99.39,7.71,286.25,10.44,286.94,58.56,14.99
1981,5,11,15.4,6.17,10.79,5.98,0,99.46,2.87,128,4.68,130.25,57.06,16.1
1981,5,12,20.22,13.03,16.62,9.7,0.06,98.97,6.95,171,9.88,172.56,65.06,20.35
1981,5,13,23.11,17.57,20.34,12.88,1.46,98.79,7.36,219,9.98,220.12,73.12,23.21
1981,5,14,17.15,9.2,13.18,7.32,0,99.53,4.32,221.56,5.99,221.38,62.5,18.01
1981,5,15,15.92,10.72,13.32,8.12,5.08,99.27,4.66,121.5,6.81,121.81,72.69,15.98
1981,5,16,21.52,18.58,20.05,13.85,23.58,98.46,7.38,155.25,10.05,156.94,84.25,21.65
1981,5,17,25.05,20.59,22.82,15.5,3.05,98.36,7.88,165.06,10.93,166.44,78,24.88
1981,5,18,23.93,15.52,19.73,11.41,0.78,98.64,4.92,265.38,7.38,265.44,63.94,23.82
1981,5,19,16.42,8.59,12.51,7.08,0.06,99.58,6.92,264.25,9.48,264.19,62,17.44
1981,5,20,16.86,9.83,13.35,7.63,0,99.79,3.7,62.31,5.63,62.38,66.94,17.92
1981,5,21,19.46,12,15.73,8.79,0,99.48,5.27,145.19,7.84,146,65.12,19.83
1981,5,22,23.15,17.42,20.29,12.7,0.34,98.98,6.75,174.81,9.45,176,71.19,23.43
1981,5,23,23.85,20.7,22.28,15.56,23.02,98.8,6.82,177.44,9.59,178.69,83.12,23.68
1981,5,24,22.23,20.07,21.15,14.89,13.94,99.02,4.43,168.06,6.43,169.25,88.06,22.24
1981,5,25,22.8,18.81,20.8,13.79,2.04,98.94,2.37,184.62,3.7,185.56,80,22.89
1981,5,26,23.43,18.73,21.08,13.73,25.02,98.79,2.25,92.5,3.54,94.69,76.69,23.56
1981,5,27,24.69,20.65,22.68,15.5,1.58,98.8,5.06,147.31,7.23,148.88,79.38,24.87
1981,5,28,25.74,21.07,23.4,15.87,2.37,98.81,5.1,166.56,7.58,168.12,77.12,25.67
1981,5,29,24.26,21.49,22.87,16.3,6.21,98.82,4.41,175.94,6.81,176.94,85.19,24.37
1981,5,30,23.48,19.86,21.66,14.77,1.11,98.9,3.69,230.56,5.48,230.62,81.25,23.76
1981,5,31,23.12,16.64,19.88,11.96,5.37,99.04,2.78,219,4,218,68.81,23.44
1981,6,1,24.98,21.26,23.12,16.11,9.86,98.93,3.78,177.81,5.67,179.12,80.75,25.12
1981,6,2,24.42,21.99,23.21,16.78,14.65,98.85,4.66,182.44,6.87,183.38,86.88,24.39
1981,6,3,24.58,22.46,23.52,17.27,18.39,98.83,5.87,174.38,8.23,175.56,88.31,24.6
1981,6,4,23.99,22.03,23.01,16.78,19.44,99.01,4.41,163.62,6.46,164.38,89.06,24.08
1981,6,5,24.23,22.16,23.19,16.97,18.67,98.81,3.8,76.06,5.72,76.94,88.69,24.4
1981,6,6,24.65,21.37,23.01,16.17,6.47,98.81,1.5,241.62,2.01,255,82.75,24.58
1981,6,7,26.08,21.01,23.54,15.81,0,98.82,1.55,264.31,2.43,264.88,75,26.39
1981,6,8,27.7,23.08,25.39,18.07,0,98.55,5.61,191,8.45,191.81,77.31,27.51
1981,6,9,28.23,23.76,25.99,18.8,0.02,98.3,7.57,188.06,10.52,189.12,78,28.04
1981,6,10,27.54,23.92,25.73,18.98,0.29,98.56,6.52,172.81,9.03,174.06,81.5,27.58
1981,6,11,24.8,22.69,23.74,17.52,0.53,98.92,4.91,160.31,6.91,161.19,88.19,24.92
1981,6,12,24.63,21.79,23.21,16.54,1.15,99.03,4.87,159.75,7.01,160.44,84.75,24.8
1981,6,13,25.54,23.37,24.46,18.25,5.46,98.93,7.31,168.75,10.19,169.56,88.19,25.41
1981,6,14,26.18,23.75,24.97,18.68,8.03,98.9,8.84,175.75,12.15,176.5,86.75,25.98
1981,6,15,26.08,23.79,24.94,18.68,42.92,99.23,6.31,202.56,8.72,201.88,87.69,26.01
1981,6,16,19.4,15.07,17.23,10.74,10.2,99.93,5.52,112.75,7.88,113.44,77.38,19.54
1981,6,17,22.26,17.94,20.1,13.12,0.02,99.64,2.66,137.25,4.18,138.31,78.19,22.87
1981,6,18,26.1,21.74,23.92,16.48,0.01,99.24,5.75,187.38,8.32,188.56,78.44,26.13
1981,6,19,26.74,22,24.37,16.72,0,99.15,5.62,197.19,8.2,198,77.06,26.69
1981,6,20,27.15,22.51,24.83,17.33,0,99.04,6.79,190.56,9.43,191.5,77.44,27.19
1981,6,21,27.67,22.8,25.23,17.64,0.02,98.92,7.71,187.31,10.62,188.5,76.62,27.69
1981,6,22,27.49,22.76,25.12,17.52,0,99.14,5.71,171.62,8.17,172.81,77,27.73
1981,6,23,27.47,22.34,24.9,17.03,0.04,99.43,4.06,178.25,6.3,179,75.62,27.8
1981,6,24,27.19,22.33,24.76,17.03,0,99.51,4.01,174.31,6.1,175.19,76.69,27.64
1981,6,25,26.81,22,24.4,16.66,0.01,99.74,2.62,159.88,3.88,159.62,76.69,27.52
1981,6,26,27.64,22.71,25.17,17.4,0.03,99.74,3.28,91.69,4.66,91.94,75.81,27.94
1981,6,27,26.24,18.53,22.38,13.61,0,99.54,4.08,120.38,6.13,121.19,66.62,26.94
1981,6,28,26.73,21.75,24.23,16.48,0,99.41,4.28,166.56,6.47,167.31,75.81,27.19
1981,6,29,27.78,22.11,24.94,16.78,0.14,99.57,5.02,174.44,7.13,175.56,73.31,28.4
1981,6,30,28.51,21.55,25.03,16.24,0.02,99.6,4.36,175.44,6.42,176.56,69.25,29.23
1981,7,1,28.18,21.89,25.03,16.66,0.45,99.26,3.27,170.44,5.03,172.56,71.31,28.9
1981,7,2,28.44,22.81,25.63,17.64,7.25,99.11,2.17,148,3.68,147.5,73.31,29.01
1981,7,3,26.67,23.69,25.18,18.55,32.75,99.19,2.62,142.12,4.23,143.5,84.25,26.98
1981,7,4,26.79,23.87,25.33,18.8,13.3,99.06,3.2,173.19,4.71,176.25,84.94,27.19
1981,7,5,26.72,21.54,24.12,16.36,4.77,98.89,2.34,226.38,3.53,239.94,75.69,26.77
1981,7,6,25.87,21.13,23.51,15.93,1.9,99.04,2.41,167.69,3.74,167.12,77.25,26.61
1981,7,7,24.74,21.93,23.33,16.66,1.28,99.24,5.35,165.62,7.66,166.56,84.94,24.88
1981,7,8,26.43,22.65,24.54,17.33,0.14,99.79,5.19,164.31,7.55,165.12,81.19,26.58
1981,7,9,26.92,22.99,24.95,17.64,0.01,99.92,2.66,165.75,4.27,166.69,80.44,27.19
1981,7,10,27.8,23.3,25.55,18.07,0.01,99.71,2.05,166.12,3.15,166.25,77.62,27.76
1981,7,11,28.18,23.19,25.69,17.94,0.03,99.47,2.3,172.44,3.49,173.12,75.62,28.4
1981,7,12,27.62,22.53,25.08,17.27,0.05,99.41,2.25,165.44,3.78,166.69,75.25,28.08
1981,7,13,28.29,21.97,25.12,16.66,0,99.44,3.91,179.56,5.95,180.94,70.56,28.97
1981,7,14,29.1,22.09,25.6,16.85,0,99.31,5.11,189.44,7.27,190.75,68.38,29.7
1981,7,15,29.58,20.81,25.2,15.62,0,99.18,5.34,185.31,7.41,186.81,62.88,30.35
1981,7,16,29.51,19.61,24.56,14.53,0.02,99.14,4.99,184.62,7.11,186.19,60.06,30.37
1981,7,17,30.05,20.46,25.25,15.32,0,99.1,5.25,182.06,7.32,183.62,61.19,31.05
1981,7,18,30.36,20.29,25.32,15.2,0,99.14,5.91,179.5,8,180.81,59.81,31.34
1981,7,19,31.08,20.73,25.9,15.62,0,99.19,5.72,183.31,7.73,184.88,59.25,32.13
1981,7,20,31.62,20.9,26.26,15.75,0,99.22,4.83,186.38,6.8,188.12,57.56,32.83
1981,7,21,32.01,19.73,25.87,14.65,0,99.13,5.09,189.06,7.16,190.44,53.06,33.09
1981,7,22,31.64,19.8,25.73,14.71,0,99.11,5.71,185.25,7.95,186.38,54.56,32.68
1981,7,23,31.73,19.37,25.55,14.34,0,99.22,5.53,184.94,7.84,186.25,52.38,32.8
1981,7,24,31.91,18.14,25.03,13.24,0,99.33,4.73,185.81,7.19,186.81,48.88,32.93
1981,7,25,31.76,20.19,25.98,15.01,0.09,99.46,5.47,172.25,7.46,172.56,53.69,33.15
1981,7,26,29.65,22.07,25.86,16.78,0.24,99.57,4.88,164.44,6.45,165.25,65.94,30.88
1981,7,27,27.47,22.62,25.05,17.33,1.83,99.65,4.13,177.62,5.8,178.56,75.75,27.99
1981,7,28,28.94,21.14,25.04,15.93,1.32,99.61,3.91,174.38,5.66,176.12,66.25,29.93
1981,7,29,30.76,19.42,25.09,14.34,0.07,99.41,4.13,188.12,6.19,188.94,54.94,31.92
1981,7,30,31.09,18.93,25.01,13.92,0.01,99.41,5.05,176,7.12,177.38,52.38,32.36
1981,7,31,31.49,19.88,25.69,14.77,0.07,99.54,4.77,166,6.6,167.56,54.06,32.69
1981,8,1,31.58,19.88,25.73,14.71,0.83,99.54,5.19,172.75,6.95,174.31,52.56,32.76
1981,8,2,31.26,18.85,25.05,13.85,0.12,99.13,5.74,170.69,7.62,172.69,50.38,32.29
1981,8,3,31.92,18.17,25.05,13.24,0,99.01,4.8,171,6.58,172.69,47.12,33.62
1981,8,4,32.57,17.9,25.23,13.06,0,99.3,5.34,177.44,7.18,178.69,45.12,34.25
1981,8,5,32.65,19.73,26.19,14.59,0.16,99.45,4.96,175.81,6.63,177.31,49.56,34.48
1981,8,6,32.85,19.67,26.26,14.53,3.75,99.25,4.42,176.75,6.2,178.12,48.31,34.49
1981,8,7,28.68,18.32,23.5,13.43,1.07,99.14,4.99,105.19,7.15,105.5,54.94,29.36
1981,8,8,27.35,12.23,19.79,9.22,0,99.28,4.3,28.88,6.07,73.44,44.38,28.55
1981,8,9,27.38,11.9,19.64,8.85,0,99.5,2.06,109,3.12,108.44,41.38,27.98
1981,8,10,28.82,11.46,20.14,8.54,0,99.65,2.79,102.69,4.62,101.62,39.06,30.66
1981,8,11,30.3,15.05,22.67,10.8,0.74,99.5,3.29,113.38,5.16,114.44,42.44,32.02
1981,8,12,30.61,18.01,24.31,13.06,0.07,99.35,4.77,125.56,6.51,127.25,49.25,32.19
1981,8,13,31.96,18.3,25.13,13.31,0.01,99.4,4.58,153.94,6.37,155.31,46.88,33.69
1981,8,14,32.83,19.4,26.12,14.22,0,99.43,4.78,186.62,6.57,187.5,47.69,34.62
1981,8,15,32.58,20.51,26.55,15.26,1.36,99.21,4.01,190.69,5.77,191.94,50.31,33.8
1981,8,16,31.33,21.97,26.65,16.91,10.59,98.83,3.42,238.94,5.04,239.44,59.94,31.82
1981,8,17,27.16,22.07,24.62,16.97,12.03,98.93,2.6,175.75,3.69,160.19,75.31,27.7
1981,8,18,25.98,19.96,22.97,14.77,2.12,99.16,3.16,71.75,4.26,57,71.62,27.61
1981,8,19,26.11,17.84,21.98,13.06,0.09,99.3,4.28,19.44,6.24,19.69,64.31,27.19
1981,8,20,24.99,13.78,19.39,9.95,0,99.41,3.86,17.44,5.96,17.31,54.69,26.16
1981,8,21,25.46,14.71,20.08,10.62,0.02,99.44,2.62,57.94,4.17,57.88,56.06,26.97
1981,8,22,26.3,15.21,20.76,10.93,0.01,99.42,2.83,114.19,4.57,114,54.94,27.81
1981,8,23,27.38,15.27,21.33,10.99,0,99.29,2.51,122.94,3.87,123.19,51.88,28.73
1981,8,24,29.4,17.12,23.26,12.33,0.16,99.35,2.78,162.19,4.52,162.06,51.38,30.82
1981,8,25,29.84,19.51,24.68,14.34,0.4,99.38,3.05,171.62,4.61,172.25,57.06,31.4
1981,8,26,29.75,19.3,24.52,14.16,3.58,99.15,3.56,181.94,5.56,183.06,56.12,30.9
1981,8,27,28.11,18.64,23.37,13.61,0.88,99.1,2.68,149.81,4.4,164.19,59.19,29.39
1981,8,28,28.73,16.05,22.39,11.66,0.1,99.32,2.16,89.19,3.57,87.44,51.38,30.54
1981,8,29,30.2,19.16,24.68,14.1,0.27,99.2,4.45,178.69,6.3,178.94,55.5,31.79
1981,8,30,29.38,19.52,24.45,14.4,0.26,98.97,6.3,182.69,8.11,183.62,58.19,30.95
1981,8,31,27.95,21.89,24.92,16.72,8.72,98.71,5.66,144.31,7.45,145.25,71.81,29.23
1981,9,1,27.25,23.39,25.32,18.37,17.7,98.61,2.09,163.5,3.17,164.06,81,27.76
1981,9,2,26.3,22.25,24.27,17.09,4.36,98.84,2.59,172.69,3.56,173.06,79.75,27.26
1981,9,3,27.44,22.51,24.98,17.27,5.06,99.11,2.8,185.38,4.38,186.19,76.75,28.4
1981,9,4,27.49,22.1,24.8,16.85,2.62,99.36,2.09,152.81,3.28,153.25,75,28.48
1981,9,5,27.37,21.09,24.23,15.81,1.66,99.41,2.38,153.44,3.69,154.19,70.5,28.33
1981,9,6,27.11,18.86,22.98,13.79,2.73,99.44,3.84,145.5,5.75,146,63.12,27.7
1981,9,7,27.07,20.12,23.6,15.01,6.88,99.46,2.94,195.5,4.55,196.56,67.62,27.83
1981,9,8,23.6,13.57,18.58,10.07,0.05,99.69,5.09,9.94,7.14,10.62,57.25,24.2
1981,9,9,22.39,12.52,17.45,9.16,0,99.55,2.38,32.88,3.57,32.88,56.56,22.4
1981,9,10,25.2,13.37,19.29,9.7,0,99.29,2.58,147.12,3.96,148.88,50.5,25.82
1981,9,11,26.51,16.87,21.69,12.15,3.78,99.37,3.83,174.44,6.16,175.31,57.94,27.06
1981,9,12,25.99,18.14,22.07,13.12,3.8,99.45,2.34,146.12,3.84,147.81,63.81,26.26
